ID;Nome;Cognome;Data di Nascita;Grado;Email;Autista;Istruttore Allievi;Squadra;DeltaNotti;DeltaSabati;DeltaFestivi;Eccezioni;Note
1;N1;C1;06/08/1960;Vigile;todo@todo.it;y;;1;;;;;Note:
2;N2;C2;23/12/1961;Vigile;todo@todo.it;y;y;2;;;;Magazziniere,EsenteNotti;Note:
3;N3;C3;08/04/1962;Complemento;todo@todo.it;;;3;;;;;Note:
4;N4;C4;13/01/1963;Vigile;todo@todo.it;y;;4;;;;;Note:
5;N5;C5;03/07/1964;Vigile;todo@todo.it;;y;4;;;;NottiSoloSabatoFestivi;Note:
6;N6;C6;18/09/1964;Vigile;todo@todo.it;y;y;2;;;;;Note:
7;N7;C7;08/10/1964;Vigile;todo@todo.it;y;;3;;;;;Note:
8;N8;C8;13/06/1967;Vigile;todo@todo.it;;;3;;;;;Note:
9;N9;C9;04/04/1968;Capoplotone;todo@todo.it;y;y;2;-2;;;;Note:
10;N10;C10;21/06/1968;Vigile;todo@todo.it;y;;2;;;;;Note:
11;N11;C11;03/10/1969;Vigile;todo@todo.it;;;3;;;;;Note:
12;N12;C12;07/08/1970;Vigile;todo@todo.it;y;;1;;;;;Note:
13;N13;C13;28/07/1971;Comandante;todo@todo.it;y;y;;-4;;-3;;Note:
14;N14;C14;15/12/1971;Vigile;todo@todo.it;y;;4;;;;;Note:
15;N15;C15;14/01/1972;Vigile;todo@todo.it;;;3;;;;NoNottiGiornoLun,NoNottiGiornoMar,NoNottiGiornoMer,NoNottiGiornoGio,NoNottiGiornoVen,NoNottiGiornoDom;Note:
16;N16;C16;03/11/1972;Vicecomandante;todo@todo.it;;y;;-4;;-3;;Note:
17;N17;C17;04/01/1973;Capoplotone;todo@todo.it;y;y;3,4;-2;;;;Note:
18;N18;C18;30/07/1973;Vigile;todo@todo.it;;;2;;;;NoServiziMese1;Note:
19;N19;C19;07/09/1973;Capoplotone;todo@todo.it;y;y;1;-2;;;;Note:
20;N20;C20;25/06/1974;Vigile;todo@todo.it;y;;3;;;;;Note:
21;N21;C21;26/10/1974;Vigile;todo@todo.it;;;2;;;;;Note:
22;N22;C22;09/05/1975;Caposquadra;todo@todo.it;;;3;4;;;EsenteFestivi;Note:
23;N23;C23;10/05/1975;Caposquadra;todo@todo.it;;;3;;;;;Note:
24;N24;C24;03/10/1975;Vigile;todo@todo.it;;;1;;;;;Note:
25;N25;C25;24/01/1976;Caposquadra;todo@todo.it;y;;1;;;;;Note:
26;N26;C26;28/03/1976;Caposquadra;todo@todo.it;;;2;;;;;Note:
27;N27;C27;01/11/1978;Vigile;todo@todo.it;;;;;;;Aspettativa;Note:
28;N28;C28;27/06/1979;Vigile;todo@todo.it;y;y;2;-2;;;Segretario;Note:
29;N29;C29;15/02/1980;Vigile;todo@todo.it;y;;1;-2;;;Vicemagazziniere;Note:
30;N30;C30;05/10/1980;Vigile;todo@todo.it;y;;;;;;Cassiere,Aspettativa;Note:
31;N31;C31;01/07/1981;Vigile;todo@todo.it;;;1;;;;;Note:
32;N32;C32;09/03/1982;Vigile;todo@todo.it;y;;4;;;;;Note:
33;N33;C33;22/04/1983;Vigile;todo@todo.it;;;4;;;;;Note:
34;N34;C34;27/04/1983;Vigile;todo@todo.it;y;y;4;;;;;Note:
35;N35;C35;14/06/1983;Vigile;todo@todo.it;;;1;;;;NoNottiGiornoLun,NoNottiGiornoMar,NoNottiGiornoMer,NoNottiGiornoGio,NoNottiGiornoVen,NoNottiGiornoDom;Note:
36;N36;C36;30/06/1983;Vigile;todo@todo.it;;;1;;;;;Note:
37;N37;C37;03/06/1984;Vigile;todo@todo.it;;;;;;;Aspettativa;Note:
